"slug","page_overall_1_in","implied_overall_1_in","catalogue_overall_1_in","diff_pct"
"bank-the-cash",2.34,2.43594136640323,2.34,4.1
"trolley-load-of-cash",2.34,2.34083646920455,2.34,0
"millionaire-7s-gold",2.35,2.39352596553403,2.35,1.9
"25m-cash-boost-gold",2.43,2.47599604720079,2.43,1.9
"rolling-in-riches-pink",2.44,2.56188924541359,2.44,5
"deal-or-no-deal",2.45,2.46299453578682,2.45,0.5
"12-months-richer-emerald",2.46,2.66462358567842,2.46,8.3
"prize-patch",2.48,2.49501215751143,2.48,0.6
"forest-of-fortune",2.49,2.51840807480918,2.49,1.1
"temples-of-treasure",2.49,2.50878594514292,2.49,0.8
"mega-word-spin",2.5,2.52127039678268,2.5,0.9
"beat-the-chasers",2.53,2.54686670649937,2.53,0.7
"lucky-expander",2.54,2.57478259271527,2.54,1.4
"power-puck-shot",2.55,2.59900968868009,2.55,1.9
"loaded-lines",2.56,2.56794238711467,2.56,0.3
"300k-diamond-bingo",2.57,2.61469236528934,2.57,1.7
"1m-cash-ride",2.58,2.59361920430863,2.58,0.5
"1-million-jackpot-black",2.6,2.61939033632602,2.6,0.7
"bingo-crazy-gold",2.6,2.80410779092646,2.6,7.9
"100k-jackpot-gold",2.61,2.66759435725125,2.61,2.2
"super-13",2.62,2.7627479026577,2.62,5.4
"super-puck-shot",2.62,2.7674739655546,2.62,5.6
"symbol-seeker",2.64,2.73240202394146,2.64,3.5
"prize-ball-extravaganza",2.65,2.67005644683868,2.65,0.8
"merlins-prize-potions",2.66,2.75531273226404,2.66,3.6
"50m-cash-trail",2.67,2.6689076044325,2.67,0
"sunny-money",2.67,2.75127969613675,2.67,3
"wild-wild-wins",2.67,2.69631194703952,2.67,1
"mahjong",2.68,2.70128790047392,2.68,0.8
"cash-bolt-bingo",2.69,2.72118823705072,2.69,1.2
"cash-champions",2.69,2.73134287245369,2.69,1.5
"300k-boomin-lines",2.7,2.75297964101903,2.7,2
"diamond-maze-gold",2.7,2.9291891360884,2.7,8.5
"mega-cashword-purple",2.7,2.74890266130558,2.7,1.8
"1m-cash-blast",2.71,2.70863607985618,2.71,-0.1
"big-top-adventure",2.71,2.71573340455328,2.71,0.2
"cash-numbers",2.71,2.80124604343963,2.71,3.4
"deep-sea-adventure",2.71,2.71573340455328,2.71,0.2
"treasure-chest-adventure",2.71,2.71573340455328,2.71,0.2
"cashword-millionaire-vip",2.73,2.86711816819571,2.73,5
"10k-bingo",2.74,2.76503345593859,2.74,0.9
"black-pearl",2.74,2.80095780287291,2.74,2.2
"cash-bolt-power-spins",2.75,2.93251141994876,2.75,6.6
"instant-scratch-deluxe",2.75,2.7693870881649,2.75,0.7
"prize-bingo-millionaire",2.75,2.98686358173418,2.75,8.6
"25k-a-month-for-a-year-orange",2.76,2.79286138659614,2.76,1.2
"50k-cashword-extra",2.76,2.77660715674186,2.76,0.6
"flip-to-win",2.76,2.76608537353969,2.76,0.2
"take-the-bait",2.76,2.76899053068717,2.76,0.3
"cash-7s-expander",2.77,2.77231689106839,2.77,0.1
"hot-air-balloon-bingo",2.77,2.77068482727984,2.77,0
"1m-cash-bolt-expander",2.79,2.81371837335002,2.79,0.9
"big-beat-bonanza",2.79,2.84218434502824,2.79,1.9
"250k-jackpot-pink",2.8,2.82667079032517,2.8,1
"cash-brix",2.8,2.88407216114274,2.8,3
"cash-stacks",2.8,2.83163123153017,2.8,1.1
"merge-meter",2.8,2.80655212769353,2.8,0.2
"3-in-a-row",2.81,2.97138209009591,2.81,5.7
"100x",2.83,3.06981327939286,2.83,8.5
"cash-burst",2.84,2.84561433137505,2.84,0.2
"cash-reactors",2.85,2.85891007364637,2.85,0.3
"castle-collect",2.85,2.85357872224594,2.85,0.1
"pennies-and-pounds",2.85,2.86224960442749,2.85,0.4
"prize-ball",2.85,3.01237840193844,2.85,5.7
"lots-of-luck",2.88,2.88327787388027,2.88,0.1
"winning-7s-pink",2.88,2.88530031533738,2.88,0.2
"word-spin",2.88,3.23183115743023,2.88,12.2
"coffee-break",2.89,2.94515707724819,2.89,1.9
"cosmic-prize-ball",2.89,2.88964252072187,2.89,0
"hot-chilli-cash-twist",2.89,3.0418555223897,2.89,5.3
"power-prize-boost",2.9,2.92746593442159,2.9,0.9
"super-grid-surge",2.9,3.05564240389521,2.9,5.4
"lotto-hi-lo",2.91,2.92596025206631,2.91,0.5
"lucky-lines-gems",2.93,3.06890842250231,2.93,4.7
"5m-cash-spectacular",2.95,2.96871600432808,2.95,0.6
"emerald-bingo",2.97,3.04675046991176,2.97,2.6
"donkey-doubler",2.98,3.0482546973756,2.98,2.3
"lucky-cashword",2.98,3.03223470211113,2.98,1.8
"lucky-stars",3.04,3.21376710223239,3.04,5.7
